platform_id,data_type,alias_short,release_date,geo_id_type,num_records
GPL13534,DNAm,HM450K,13-May-11,gse,1594
GPL13534,DNAm,HM450K,13-May-11,gsm,112586
GPL13534,DNAm,HM450K,13-May-11,gse_idat,824
GPL13534,DNAm,HM450K,13-May-11,gsm_idat,58180
GPL13534,DNAm,HM450K,13-May-11,gsm_per_gse,70.63
GPL13534,DNAm,HM450K,13-May-11,fract_idat_gse,52.0
GPL13534,DNAm,HM450K,13-May-11,fract_idat_gsm,52.0
GPL21145,DNAm,EPIC,16-Nov-15,gse,798
GPL21145,DNAm,EPIC,16-Nov-15,gsm,50899
GPL21145,DNAm,EPIC,16-Nov-15,gse_idat,682
GPL21145,DNAm,EPIC,16-Nov-15,gsm_idat,39867
GPL21145,DNAm,EPIC,16-Nov-15,gsm_per_gse,63.78
GPL21145,DNAm,EPIC,16-Nov-15,fract_idat_gse,85.0
GPL21145,DNAm,EPIC,16-Nov-15,fract_idat_gsm,78.0
GPL570,expr,U133_v2,3-Nov-03,gse,5569
GPL570,expr,U133_v2,3-Nov-03,gsm,166334
GPL570,expr,U133_v2,3-Nov-03,gsm_per_gse,29.87
GPL10558,expr,HT12_v4,17-Jan-10,gse,2889
GPL10558,expr,HT12_v4,17-Jan-10,gsm,99847
GPL10558,expr,HT12_v4,17-Jan-10,gsm_per_gse,34.56
GPL96,expr,U113A,3/11/02,gse,1122
GPL96,expr,U113A,3/11/02,gsm,41608
GPL96,expr,U113A,3/11/02,gsm_per_gse,37.08
